L_City,total_listings,avg_list_price,min_price,max_price
Summerland,2,39387500,9200000,69575000
Glen Ellen,1,28500000,28500000,28500000
Newport Coast,43,18537718,2375000,65000000
Carpinteria,16,16073438,695000,48975000
Hidden Hills,29,15922828,3490000,39995000
Montecito,9,15509000,5995000,39500000
St Helena,1,15500000,15500000,15500000
Beverly Hills,249,13530298,599000,135000000
Winterhaven,1,12501000,12501000,12501000
Santa Ynez,22,11208955,1235000,59500000
Rancho Santa Fe,79,10875965,1679000,84950000
Bradbury,15,10604333,1349000,28800000
Pebble Beach,24,9949792,950000,57500000
Hillsborough,16,9916125,2590000,29900000
Los Altos Hills,10,9821000,3898000,19950000
Malibu,257,9652135,550000,110000000
Big Sur,7,8795714,2375000,32000000
Laguna Beach,142,8655847,845000,50000000
Santa Barbara,54,8257183,749000,54950000
Woodside,17,8119471,799000,25000000
Atherton,6,7877492,16000,16500000
Diablo,2,7800000,5850000,9750000
Davenport,2,7737500,1575000,13900000
Coto de Caza,31,7423581,1049000,125000000
Creston,1,6995000,6995000,6995000
Pacific Palisades,88,6680079,322000,39950000
Oak Glen,5,6567800,649000,14500000
Newport Beach,181,6474200,589999,59000000
Corona Del Mar,58,6465136,1595000,25000000
Del Mar,37,6235349,625000,49900000
Los Olivos,3,6000000,2850000,9950000
Los Alamos,6,5833833,939000,29800000
Somis,7,5826279,1995000,14999000
Palos Verdes Estates,26,5740765,1164000,33088888
Rolling Hills,7,5548429,2600000,6749000
Manhattan Beach,43,5364209,995000,15249000
Santa Ysabel,3,5314667,699000,12995000
San Marino,17,5291235,1998000,16800000
Portola Valley,11,5224182,1899000,15500000
La Jolla,154,5194335,499000,108000000
Grimes,2,5050000,4200000,5900000
San Simeon,4,5021250,675000,17300000
Pescadero,3,4877963,1950000,6688888
Dana Point,91,4811027,299000,25900000
Saratoga,27,4720405,950000,14880000
Friant,2,4625000,4500000,4750000
Alamo,24,4605117,1150000,23500000
Elk,3,4525000,1525000,8100000
Tiburon,1,4495000,4495000,4495000
Palo Alto,53,4423193,768888,24888000
,72,4370059,6000,50000000
Hermosa Beach,31,4294710,619000,14999000
Shandon,7,4210857,411000,8250000
Coronado,64,4177354,949000,30999999
Solana Beach,21,4175327,895000,11588168
La Selva Beach,6,4120500,830000,10950000
Moss Landing,4,4087000,1350000,9950000
Bel Air,2,4025000,1100000,6950000
Yosemite National Park,1,3995000,3995000,3995000
Carmel,74,3945457,650000,16800000
Los Altos,34,3828056,799000,8980000
Santa Monica,188,3819387,600000,110000000
La Canada Flintridge,18,3691333,1500000,8950000
Menlo Park,35,3667410,888888,11000000
Bell Canyon,4,3636000,1650000,5499000
Monte Sereno,5,3588300,4500,5750000
Silverado,7,3556557,649900,5399000
Calabasas,82,3532299,599000,16995000
North Tustin,20,3412400,1280000,9500000
Point Arena,2,3395000,2295000,4495000
Encinitas,91,3390083,209000,14900000
Oak View,10,3380900,699000,16500000
Caspar,1,3299000,3299000,3299000
Venice,80,3242042,798000,9980000
Encino,196,3201608,156400,29995000
Westlake Village,84,3072669,360000,16750000
Novato,6,3061259,599888,12000000
Villa Park,7,3055397,2299888,3950000
Los Gatos,80,3029221,449900,29200000
Cupertino,23,3001319,828888,6200000
Yorkville,1,2999000,2999000,2999000
Fiddletown,1,2998000,2998000,2998000
Mar Vista,1,2899000,2899000,2899000
Los Angeles,2879,2880318,50000,170000000
Toluca Lake,19,2869737,724500,11288000
Rancho Palos Verdes,79,2863433,460000,18307696
Cayucos,25,2835532,749900,10998000
Avila Beach,2,2827745,2500000,3155490
Orinda,14,2825143,1398000,7995000
San Miguel,11,2819273,599000,13500000
Carmel Valley,36,2800889,775000,12500000
South Pasadena,14,2789786,665000,12500000
Mount Hermon,1,2785000,2785000,2785000
Ojai,59,2765864,555000,17495000
Studio City,131,2747288,499000,34950000
San Martin,2,2737450,1475000,3999900
Palos Verdes Peninsula,6,2710825,1885000,4395000
Solvang,12,2708492,682000,10000000
Los Feliz,2,2697500,2599999,2795000
Arcadia,106,2688282,649000,12888000
Lakeview Terrace,2,2684500,519000,4850000
Lake Sherwood,3,2681667,2050000,3100000
San Juan Capistrano,33,2647345,420000,15000000
Little River,4,2608750,625000,7200000
Piedmont,3,2593333,990000,4995000
San Clemente,87,2571031,480000,11995000
Cardiff By The Sea,12,2545500,858000,4645000
Surfside,2,2542000,2389000,2695000
Santa Rosa,11,2530929,540000,9950000
Laguna Niguel,88,2526790,498000,27888000
Nevada City,1,2495000,2495000,2495000
La Honda,3,2463000,799000,3995000
Hancock Park,1,2458000,2458000,2458000
Sierra Madre,17,2385823,849000,4382000
Lafayette,34,2328643,675000,6250000
Newcastle,1,2325000,2325000,2325000
Pismo Beach,27,2286963,575000,12000000
Belmont,8,2263349,1299950,5695000
Poway,51,2261576,750000,9499000
Fairfield,36,2219926,249500,55000000
Santa Cruz,76,2207803,199900,14950000
El Dorado Hills,1,2199000,2199000,2199000
Templeton,22,2189032,679000,9995000
Goleta,7,2177286,665000,3975000
Burlingame,13,2169231,850000,4300000
West Hollywood,198,2167749,359900,57000000
Mammoth Lakes,10,2166799,515000,5900000
Laguna Hills,34,2162129,490000,8988000
San Carlos,28,2137779,749000,6895000
Sunset Beach,2,2112500,1850000,2375000
Thousand Oaks,106,2108768,350000,34900000
Topanga,45,2101067,599000,5995000
La Habra Heights,13,2100575,1150000,4580000
Ladera Heights,3,2081333,1649000,2600000
Millbrae,9,2051308,698888,3499000
Echo Park,3,2048000,1199000,2995000
Porter Ranch,67,2040898,599950,4200000
Sherman Oaks,184,2018541,359900,12750000
Silver Lake,3,2001633,1720000,2499900
Irvine,454,2000506,429900,9998800
Rancho Dominguez,1,2000000,2000000,2000000
Belvedere,1,1999900,1999900,1999900
Danville,70,1979404,585000,7088000
Yorba Linda,81,1975089,379000,6160000
Agoura Hills,50,1963815,329900,5999000
Morro Bay,21,1962657,500000,15500000
Sausalito,4,1959625,799000,2895000
Cambria,32,1949716,485000,8250000
Westport,2,1944500,1599000,2290000
Pasadena,173,1920837,475000,22000000
Valley Village,43,1911354,395395,4995000
La Quinta,510,1906874,100000,85000000
Yountville,1,1900000,1900000,1900000
Mountain View,53,1897902,550000,4560000
Bloomington,20,1890335,445000,9999999
Redwood City,51,1890283,429999,5695000
Arroyo Grande,35,1886728,319999,4999000
Costa Mesa,65,1886289,659900,3999000
Indian Wells,121,1869390,319000,16500000
Scripps Miramar,1,1860000,1860000,1860000
Walnut,63,1850130,229900,5980000
Rossmoor,4,1842000,1599000,2199999
Carlsbad,190,1837709,199999,16200000
Tarzana,105,1827054,275000,7495000
Lockwood,3,1813000,1460000,2400000
Petaluma,2,1805750,1785000,1826500
Hollywood Hills East,1,1799999,1799999,1799999
Woodland Hills,179,1791639,380000,12750000
Aptos,53,1785418,343263,12995000
Campbell,29,1781833,450000,4690000
Pleasanton,50,1775676,424900,8999000
Bradley,12,1765825,359000,7995000
Cowan Heights,1,1750000,1750000,1750000
Lake Hughes,13,1735342,275000,11975000
Paicines,3,1733266,699999,2699900
Huntington Beach,196,1732444,196500,6975000
Pope Valley,1,1725000,1725000,1725000
Redondo Beach,97,1724492,499000,4799000
Marina Del Rey,108,1715527,375000,6995000
Morgan Hill,49,1709891,3500,4358000
Ladera Ranch,33,1709800,789000,3473000
Royal Oaks,10,1705100,595000,4795000
Pacific Grove,22,1704455,799000,5998000
Boonville,2,1697500,895000,2500000
Altadena,39,1696820,541500,3000000
Half Moon Bay,28,1687353,395000,3999999
Los Osos,15,1679067,689000,4950000
San Mateo,78,1678462,499000,5400000
Mendocino,9,1672000,620000,3300000
Playa Del Rey,41,1666558,395000,6600000
Shadow Hills,6,1660583,700000,2775000
Sebastopol,4,1659097,788888,3499000
Glassell Park,1,1650000,1650000,1650000
West Los Angeles,2,1644500,1399000,1890000
Sherwood Forest,5,1639400,1499000,1750000
San Luis Obispo,72,1626143,275000,7900000
Pacifica,25,1623991,729000,6995000
Folsom,3,1618342,865000,2790026
Paso Robles,112,1605926,299000,33000000
Chatsworth,78,1605130,349000,14750000
Gridley,8,1597588,329900,9900000
Rancho Mirage,407,1594282,165000,15500000
Trabuco Canyon,9,1572889,549000,3600000
Monterey,46,1572099,187545,5990000
Unincorporated,3,1566667,200000,2500000
Stevinson,2,1562500,675000,2450000
Diamond Bar,79,1554804,289000,7688000
Lincoln Heights,1,1549000,1549000,1549000
Moss Beach,2,1542500,1500000,1585000
Sunnyvale,88,1526772,649000,3198000
San Juan Bautista,7,1526700,739999,4350000
Temple City,32,1525794,525000,3090000
Nipomo,29,1524131,294000,5475000
Corralitos,3,1511333,1300000,1655000
El Segundo,20,1504600,640000,2850000
Westchester,4,1502000,460000,2700000
Rowland Heights,34,1500920,749000,6900000
Baldwin Hills,1,1499999,1499999,1499999
Montara,1,1499999,1499999,1499999
Soledad,12,1498500,549999,6300000
View Park,5,1497600,1249000,1890000
Winters,1,1488000,1488000,1488000
South Lake Tahoe,6,1487500,500000,2998000
Avalon,13,1484685,800000,5965000
El Granada,3,1483000,1150000,1800000
Tustin,60,1482987,519999,5500000
