L_DisplayId,L_Address,L_City,L_SystemPrice,OpenHouseDate,OH_StartTime,OH_EndTime
1134569146,28 Bigsby Drive,Stanton,591980,1/30/2026,11:00:00,15:00:00
1129952339,21203 Trumpet Drive 103,Newhall,464999,1/30/2026,12:30:00,15:30:00
1127128828,6191 Jacaranda Lane,Yorba Linda,1631900,1/30/2026,13:00:00,17:00:00
1119712481,2959 Place De Mouton,Bonsall,1149000,1/30/2026,10:30:00,15:00:00
1151880827,4324 2nd Avenue,Los Angeles,929000,1/30/2026,15:00:00,17:00:00
1151886666,736 14th,Huntington Beach,2995000,1/30/2026,11:00:00,14:00:00
1151590670,2105 Oxford Avenue,Claremont,1233000,1/30/2026,15:00:00,18:00:00
1151419965,18499 Lewiston Dr,Lathrop,699000,1/30/2026,10:00:00,12:00:00
1151886030,348 Nita Avenue,Mountain View,2290000,1/30/2026,16:30:00,18:00:00
1151884534,16012 Los Alimos,Granada Hills,839000,1/30/2026,11:30:00,14:00:00
1151366960,731 N Leland Avenue,San Pedro,1399000,1/30/2026,17:00:00,19:00:00
1151454045,9400 Burnet 103,North Hills,764900,1/30/2026,14:30:00,18:00:00
1150173947,13419 Sebago,Poway,1275000,1/30/2026,15:00:00,17:30:00
1151548619,24703 Lightning Way,Moreno Valley,699999,1/30/2026,15:00:00,18:00:00
1151656796,7439 Dorie Drive,West Hills,1995000,1/30/2026,11:00:00,13:00:00
1149517804,80801 Calle Azul,La Quinta,729000,1/30/2026,13:00:00,16:00:00
1151800703,81358 Avenida Blanca,Indio,749000,1/30/2026,11:00:00,14:00:00
1151873995,1789 Rock Spring Street,Newbury Park,1185000,1/30/2026,9:00:00,17:00:00
1147396660,1680 S Rimpau Boulevard,Los Angeles,699000,1/30/2026,10:00:00,14:00:00
1151531592,15398 6th,Victorville,399000,1/30/2026,13:00:00,16:00:00
