L_DisplayId,L_Address,L_City,L_SystemPrice,city_avg_price,diff_from_city_avg,rank_in_city
446919658,25 rue du Semaphore,,50000000,4370059,45629941,1
1151482138,1 Villa Del Mar Avenue,,36000000,4370059,31629941,2
1019911503,"0 Porto Cheli, Ermioni Greece - White House Villa",,26350000,4370059,21979941,3
1065030486,,,21500000,4370059,17129941,4
1108960276,"1 M3P7+VXW, Limasol 3107, Cyprus",,18918592,4370059,14548533,5
1019883958,"0 PORTO CHELI, ERMIONI GREECE - VILLA ION",,16850000,4370059,12479941,6
1131066171,"0 Playa Hermosa, Santa Teresa, Costa Rica",,12800000,4370059,8429941,7
1151199057,67 Lazaro Cardenas Mexico,,11000000,4370059,6629941,8
1019885115,"0 PORTO CHELI, ERMIONI GREECE - VILLA OLIVE TREE",,9500000,4370059,5129941,9
1113199811,18 Penthouse Costa Rica,,6995000,4370059,2624941,10
1090263096,"4 Koukaki, Athens, Greece",,6890000,4370059,2519941,11
1150712330,"0 Blackhouse, Uvita, Costa Rica",,6500000,4370059,2129941,12
1151064438,"3 Allee Du Champ Malland, 74140 Sciez-sur-leman, France",,6200000,4370059,1829941,13
1151457804,"1 Santa Teresa Beach North, Costa Rica",,4900000,4370059,529941,14
1022254302,"0 E MYKONOS, GREECE",,4220000,4370059,-150059,15
1019207731,21 AGIA MARINA ATHENS GREECE,,4099000,4370059,-271059,16
1150712305,"0 Blackhouse Villas, Uvita",,3500000,4370059,-870059,17
1146469359,"1 Private Island Near Venice, Italy",,3495000,4370059,-875059,18
1145934977,"0 Playa Hermosa, Santa Teresa, Costa Rica",,3250000,4370059,-1120059,19
1090260120,"14 Pikermi, Athens, Greece",,3250000,4370059,-1120059,19
1019886367,"0 PORTO CHELI, ERMIONI GREECE - VILLA TEAL",,3175000,4370059,-1195059,21
1095265643,577 Anchor Circle,,2963000,4370059,-1407059,22
1109058734,"0 Santa Teresa, Nicoya Peninsula,Costa Rica",,2900000,4370059,-1470059,23
1145938698,"0 Mal Pais, Santa Teresa, Costa Rica",,2900000,4370059,-1470059,23
1151254695,5090 La Honda Road,,2898000,4370059,-1472059,25
1107277274,"59 La Mesa KM 59 +3100 , Degollado, 23300 Todos Santo",,2600000,4370059,-1770059,26
1109013290,"1 Girne, Esentepe District, Northern Cyprus Villa K",,2500000,4370059,-1870059,27
1032983562,1208 Stanyan Street B,,2488000,4370059,-1882059,28
1079073368,2 Calle 30,,2418930,4370059,-1951129,29
1111942546,0 Villa Sunset MalPais Costa Rica,,2300000,4370059,-2070059,30
